Situation familiale;Nombre de 2rm conduits par le membre;Age du membre;CSP du membre;Tranche_age;Tranche_annee de mise en circulation du 2rm 1;Annee de mise en circulation du 2rm 2;Annee de mise en circulation du 2rm 3;Cylindree du 2rm 1;Cylindree du 2rm 2;Cylindree du 2rm 3;Frequence d utilisation du 2rm 1;Frequence d utilisation du 2rm 2;Frequence d utilisation du 2rm 3;Nombre de kilometres parcourus par an sur l ensemble des 2RM;Marque du 2rm 1;Marque du 2rm 2;Marque du 2rm 3;Segment du 2rm 1;Segment du 2rm 2;Segment du 2rm 3;Usage du 2rm 1;Usage du 2rm 2;Usage du 2rm 3;Votre categorie socioprofessionnelle :;Q97 Le confinement vous a permis d’apprendre a vous deplacer autrement.;Q97 Vous pensez que c’est benefique pour votre sante.;Q97 Vous souhaitez generer moins de pollution.;Q97 Vous gagnez du temps.;Q97 Vous gagnez en autonomie.;Q97 Vous respectez la distanciation sociale.;Q97 Vous etes moins expose au risque sanitaire.;Q97 Vous evitez les contraintes des bouchons.;Q97 Vous ne dependez plus des transports en commun ou d’une tierce personne.;Q97 Vous etes moins impacte en cas de mouvements sociaux.;Q97 Autre. Precisez;La crise sanitaire a-t-elle eu un impact sur les revenus de votre foyer ?;Suite a la crise  etes-vous inquiet pour : - la perennite de votre emploi;Suite a la crise  etes-vous inquiet pour : - la perennite de votre entreprise;Suite a la crise  etes-vous inquiet pour : - l’impact sur l’economie nationale;Suite a la crise  etes-vous inquiet pour : - la situation financiere de votre foyer;Suite a la crise  etes-vous inquiet pour : - Autre. Precisez;Suite a la crise  etes-vous inquiet pour : - Vous n etes pas inquiet(ete).;Budget 2RM agrege;Evolution budget agrege;Votre categorie socioprofessionnelle :;En voiture - Avant le confinement;En voiture - Pendant le confinement;En voiture - Dans les mois qui vont suivre;A 2-roues motorise - Avant le confinement;A 2-roues motorise - Pendant le confinement;A 2-roues motorise - Dans les mois qui vont suivre;A velo - Avant le confinement;A velo - Pendant le confinement;A velo - Dans les mois qui vont suivre;Avec un engin nouvelle mobilite electrique (trottinette electrique  Velo a Assistance electrique…) - Avant le confinement;Avec un engin nouvelle mobilite electrique (trottinette electrique  Velo a Assistance electrique…) - Pendant le confinement;Avec un engin nouvelle mobilite electrique (trottinette electrique  Velo a Assistance electrique…) - Dans les mois qui vont suivre;En transports en commun - Avant le confinement;En transports en commun - Pendant le confinement;En transports en commun - Dans les mois qui vont suivre;En co-voiturage - Avant le confinement;En co-voiturage - Pendant le confinement;En co-voiturage - Dans les mois qui vont suivre;En auto/moto partage - Avant le confinement;En auto/moto partage - Pendant le confinement;En auto/moto partage - Dans les mois qui vont suivre;A pied - Avant le confinement;A pied - Pendant le confinement;A pied - Dans les mois qui vont suivre;Non concerne(e) - Avant le confinement;Non concerne(e) - Pendant le confinement;Non concerne(e) - Dans les mois qui vont suivre;Autre - Avant le confinement;Autre - Pendant le confinement;Autre - Dans les mois qui vont suivre;Aviez-vous l’intention de changer de 2-roues motorise en 2020 ?;change2rm
En couple sans enfant;2rm : 1;68;Retraite;60-69 ans;[1991-2000];;;1000+ - A;;;Quelques fois par semaine;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[0-5200];HONDA;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Routiere / GT;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Retraite;;;;;;;;;;;;Non  vos revenus sont inchanges.;;;Oui;Oui;Non;;[300 500];rester stable;Retraite;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple avec enfant(s);2rm : 1;54;Employe;50-59 ans;[2016-2019];;;[650 - 990] - A;;;Tous les jours;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[0-5200];KAWASAKI;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Roadster;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Employe;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;Non;Oui;[500-1000];rester stable;Employe;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 1;63;Retraite;60-69 ans;[2016-2019];;;1000+ - A;;;Quelques fois par semaine;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[5200-10000];MOTO GUZZI;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Roadster;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Retraite;;;;;;;;;;;;Non  vos revenus sont inchanges.;;;Oui;Non;Non;;[300 500];rester stable;Retraite;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 4;46;Employe;40-49 ans;[2001-2005];[2001-2005];[1991-2000];[650 - 990] - A;1000+ - A;[650 - 990] - A;Quelques fois par semaine;Quelques fois par mois;Quelques fois par an;[15000-];DUCATI;VOXAN;CAGIVA;Roadster;Side-car / Trike;Trail / Supermotard;Pour les trajets domicile travail;Pour les loisirs;Pour les loisirs;Employe;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;Non;Oui;[1000-];augmenter;Employe;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 1;42;Profession intermediaire;40-49 ans;[2016-2019];;;1000+ - A;;;Quelques fois par mois;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[5200-10000];TRIUMPH;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Roadster;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Profession intermediaire;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;Non;Oui;[300 500];rester stable;Profession intermediaire;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 1;63;Retraite;60-69 ans;[2016-2019];;;1000+ - A;;;Quelques fois par mois;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[5200-10000];BMW;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Roadster;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Retraite;;;;;;;;;;;;Non  vos revenus sont inchanges.;;;Oui;Non;Non;;[0-300];rester stable;Retraite;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 3;27;Profession intermediaire;Moins de 30 ans;[2011-2015];[2016-2019];[2011-2015];[650 - 990] - A;[650 - 990] - A;[200 - 600] - A2;Quelques fois par semaine;Quelques fois par semaine;Quelques fois par mois;[15000-];DUCATI;KTM;HUSQVARNA;Trail / Supermotard;Roadster;Trail / Supermotard;Pour les loisirs;Pour les trajets domicile travail;Pour les loisirs;Profession intermediaire;;;;;;;;;;;je ne peux pas changer  je dois garder mon vehicule de travail;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;Non;Oui;[300 500];rester stable;Profession intermediaire;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Oui;Oui vous aviez l intention mais vous avez change d avis;False
En couple sans enfant;2rm : 4;62;Cadre;60-69 ans;[2006-2010];[2006-2010];[2001-2005];1000+ - A;1000+ - A;1000+ - A;Quelques fois par mois;Quelques fois par mois;Quelques fois par an;[5200-10000];MOTO GUZZI;BUELL;HARLEY-DAVIDSON;Roadster;Roadster;Custom;Pour les loisirs;Pour les loisirs;Pour les loisirs;Cadre;;;;;;;;;;;;Oui  vos revenus ont diminue.;Non;Non;Oui;Non;Non;Oui;[300 500];rester stable;Cadre;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;False
Seul(e) sans enfant;2rm : 3;44;En recherche d emploi;40-49 ans;[1991-2000];[1991-2000];[2006-2010];[650 - 990] - A;1000+ - A;50 - AM;Quelques fois par semaine;Quelques fois par an;Tous les jours;[15000-];TRIUMPH;TRIUMPH;PIAGGIO;Roadster;Routiere / GT;Roadster;Pour les loisirs;Pour les loisirs;Pour les trajets domicile travail;En recherche d emploi;;;;;;;;;;;;Oui  vos revenus ont diminue.;;;Oui;Oui;Non;;[0-300];diminuer;En recherche d emploi;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 1;62;Chef d entreprise de 10 salaries ou plus;60-69 ans;[2006-2010];;;1000+ - A;;;Quelques fois par semaine;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[5200-10000];BMW;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Trail / Supermotard;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Chef d entreprise de 10 salaries ou plus;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Oui;Non;Oui;Non;Non;[1000-];rester stable;Chef d entreprise de 10 salaries ou plus;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;False
En couple avec enfant(s);2rm : 1;43;Employe;40-49 ans;[2016-2019];;;1000+ - A;;;Quelques fois par mois;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[10000-15000];HONDA;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Roadster;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Employe;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;Non;Oui;[0-300];rester stable;Employe;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
Seul(e) sans enfant;2rm : 1;63;Profession liberale et artistique;60-69 ans;[2016-2019];;;1000+ - A;;;Quelques fois par semaine;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[5200-10000];BMW;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Routiere / GT;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Profession liberale et artistique;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;Non;Oui;[300 500];rester stable;Profession liberale et artistique;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui vous avez deja change de 2 roues cette annee;True
Seul(e) avec enfants;2rm : 3;48;Cadre;40-49 ans;[2001-2005];[2001-2005];[2006-2010];1000+ - A;[200 - 600] - A2;[200 - 600] - A2;Quelques fois par an;Quelques fois par an;Quelques fois par semaine;[10000-15000];HONDA;KAWASAKI;HONDA;Routiere / GT;Trail / Supermotard;Trail / Supermotard;Pour les loisirs;Pour les loisirs;Pour les trajets domicile travail;Cadre;;;;;;;;;;;;Oui  vos revenus ont diminue.;Non;Non;Non;Non;Non;Non;[0-300];rester stable;Cadre;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non vous n aviez pas l intention d en changer mais vous avez change d avis;True
En couple sans enfant;2rm : 1;72;Retraite;70 et plus;[2011-2015];;;[650 - 990] - A;;;Quelques fois par mois;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[5200-10000];YAMAHA;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Roadster;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Retraite;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Oui;Oui;Non;Oui;[300 500];rester stable;Retraite;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 3;62;Retraite;60-69 ans;[1981-1990];[1991-2000];[2016-2019];[650 - 990] - A;[200 - 600] - A2;[200 - 600] - A2;Quelques fois par mois;Quelques fois par mois;Quelques fois par semaine;[10000-15000];HONDA;HONDA;Kawasaki;Trail / Supermotard;Tout terrain (Trial   Enduro  Cross);Trail / Supermotard;Pour les loisirs;Pour les loisirs;Pour les loisirs;Retraite;;;;;;;;;;;;Non  vos revenus sont inchanges.;;;;;;;[300 500];rester stable;Retraite;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple avec enfant(s);2rm : 1;57;Profession intermediaire;50-59 ans;[2016-2019];;;[200 - 600] - A2;;;Tous les jours;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[5200-10000];SYM;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Scooter;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Profession intermediaire;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;Non;Oui;[300 500];rester stable;Profession intermediaire;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;False
Seul(e) avec enfants;2rm : 1;57;Cadre;50-59 ans;[1991-2000];;;[650 - 990] - A;;;Tous les jours;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[5200-10000];HONDA;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Routiere / GT;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Cadre;Non;Non;Non;Oui;Non;Oui;Oui;Non;Non;Non;;Non  vos revenus sont inchanges.;Oui;Oui;Non;Non;Non;Non;[300 500];augmenter;Cadre;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui vous allez changer de 2 roues d ici la fin de l annee;True
En couple avec enfant(s);2rm : 2;56;Cadre;50-59 ans;[2006-2010];[1991-2000];;[650 - 990] - A;50 - AM;;Quelques fois par semaine;Quelques fois par semaine;Non conducteur de 2rm 3;[10000-15000];KAWASAKI;SUZUKI;Non conducteur de 2rm 3;Sportive;Roadster;Non conducteur de 2rm 3;Pour les loisirs;Pour les loisirs;Non conducteur de 2rm 3;Cadre;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Non;Non;Avenir de mes enfants;Non;[500-1000];rester stable;Cadre;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui vous aviez l intention mais vous avez change d avis;False
Seul(e) sans enfant;2rm : 2;29;Ouvrier;Moins de 30 ans;[2016-2019];[2006-2010];;1000+ - A;1000+ - A;;Tous les jours;Quelques fois par semaine;Non conducteur de 2rm 3;[10000-15000];KTM;KTM;Non conducteur de 2rm 3;Roadster;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Pour les loisirs;Non conducteur de 2rm 3;Ouvrier;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;Non;Oui;[500-1000];rester stable;Ouvrier;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 1;68;Retraite;60-69 ans;[1991-2000];;;125 - A1;;;Quelques fois par an;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[0-5200];SACHS;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Custom;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Retraite;;;;;;;;;;;;Non  vos revenus sont inchanges.;;;Oui;Oui;Non;;[0-300];rester stable;Retraite;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 2;66;Retraite;60-69 ans;[2001-2005];[2001-2005];;1000+ - A;1000+ - A;;Quelques fois par semaine;Quelques fois par semaine;Non conducteur de 2rm 3;[5200-10000];YAMAHA;YAMAHA;Non conducteur de 2rm 3;Roadster;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Pour les loisirs;Non conducteur de 2rm 3;Retraite;;;;;;;;;;;;Non  vos revenus sont inchanges.;;;Oui;Non;Non;;[1000-];rester stable;Retraite;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple avec enfant(s);2rm : 1;36;Employe;30-39 ans;[2011-2015];;;[650 - 990] - A;;;Quelques fois par semaine;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[0-5200];SUZUKI;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Roadster;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Employe;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Non;Non;Sante;Non;[0-300];rester stable;Employe;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 1;42;Cadre;40-49 ans;[2011-2015];;;1000+ - A;;;Tous les jours;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[15000-];BMW;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Routiere / GT;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Cadre;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Non;Non;Non;Non;[500-1000];augmenter;Cadre;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;False
En couple avec enfant(s);2rm : 1;58;Cadre;50-59 ans;[2011-2015];;;1000+ - A;;;Quelques fois par mois;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[15000-];HONDA;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Roadster;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Cadre;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;Non;Oui;[300 500];rester stable;Cadre;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;False
En couple avec enfant(s);2rm : 5;62;Cadre;60-69 ans;[2016-2019];[2011-2015];[1991-2000];[650 - 990] - A;[200 - 600] - A2;[200 - 600] - A2;Quelques fois par an;Quelques fois par an;Quelques fois par an;[5200-10000];KAWASAKI;HONDA;YAMAHA;Roadster;Custom;Trail / Supermotard;Pour les loisirs;Pour les loisirs;Pour les loisirs;Cadre;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;Non;Oui;[1000-];diminuer;Cadre;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 6;65;Profession liberale et artistique;60-69 ans;[2006-2010];[-1980];[-1980];1000+ - A;[200 - 600] - A2;125 - A1;Quelques fois par semaine;Quelques fois par mois;Quelques fois par mois;[10000-15000];MOTO GUZZI;HONDA;HONDA;Routiere / GT;Roadster;Roadster;Pour les loisirs;Pour les loisirs;Pour les loisirs;Profession liberale et artistique;;;;;;;;;;;RETRAITE;Non  vos revenus sont inchanges.;Non;Non;Non;Non;;Non;[300 500];rester stable;Profession liberale et artistique;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;False
En couple sans enfant;2rm : 2;31;Employe;30-39 ans;[2006-2010];[2006-2010];;[650 - 990] - A;1000+ - A;;Tous les jours;Quelques fois par mois;Non conducteur de 2rm 3;[15000-];TRIUMPH;APRILIA;Non conducteur de 2rm 3;Roadster;Roadster;Non conducteur de 2rm 3;Pour les trajets domicile travail;Pour les loisirs;Non conducteur de 2rm 3;Employe;;;;;;;;;;;;Oui  vos revenus ont diminue.;Non;Non;Non;Oui;Non;Non;[1000-];rester stable;Employe;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 2;46;Cadre;40-49 ans;[2016-2019];[2011-2015];;1000+ - A;[200 - 600] - A2;;Tous les jours;Quelques fois par an;Non conducteur de 2rm 3;[10000-15000];BMW;HONDA;Non conducteur de 2rm 3;Routiere / GT;Sportive;Non conducteur de 2rm 3;Pour les trajets domicile travail;Pour les trajets domicile travail;Non conducteur de 2rm 3;Cadre;;;;;;;;;;;;Oui  vos revenus ont diminue.;Non;Non;Oui;Oui;Non;Oui;[500-1000];rester stable;Cadre;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui vous aviez l intention mais vous avez change d avis;False
Seul(e) sans enfant;2rm : 1;78;Retraite;70 et plus;[2011-2015];;;[650 - 990] - A;;;Quelques fois par semaine;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[5200-10000];BMW;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Trail / Supermotard;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Retraite;;;;;;;;;;;;Non  vos revenus sont inchanges.;;;Oui;Non;Non;;[500-1000];rester stable;Retraite;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 1;56;Employe;50-59 ans;[2011-2015];;;[650 - 990] - A;;;Quelques fois par semaine;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[15000-];KTM;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Trail / Supermotard;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Employe;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Oui;Oui;Non;Non;Oui;[300 500];diminuer;Employe;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non vous n aviez pas l intention d en changer mais vous avez change d avis;True
En couple sans enfant;2rm : 1;60;Cadre;60-69 ans;[2011-2015];;;1000+ - A;;;Tous les jours;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[10000-15000];BMW;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Routiere / GT;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Cadre;;;;;;;;;;;;Oui  vos revenus ont diminue.;Non;Non;Oui;Non;Non;Oui;[500-1000];augmenter;Cadre;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;False
En couple avec enfant(s);2rm : 4;47;Cadre;40-49 ans;[-1980];[2006-2010];[1991-2000];125 - A1;125 - A1;[650 - 990] - A;Quelques fois par an;Tous les jours;Quelques fois par semaine;[10000-15000];HONDA;HONDA;KAWASAKI;Roadster;Scooter;Roadster;Pour les loisirs;Pour les trajets domicile travail;Pour les loisirs;Cadre;Non;Non;Non;Oui;Non;Non;Oui;Oui;Non;Non;;Oui  vos revenus ont diminue.;Non;Non;Oui;Non;Non;Oui;[1000-];rester stable;Cadre;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;False
En couple avec enfant(s);2rm : 1;59;Employe;50-59 ans;[2006-2010];;;1000+ - A;;;Quelques fois par semaine;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[0-5200];TRIUMPH;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Custom;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Employe;;;;;;;;;;;;Oui  vos revenus ont diminue.;Non;Non;Non;Non;Non;Non;[0-300];rester stable;Employe;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
